Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;EE;LV;LV;LT;LT;AT;AT;BE;BE;DE-LU;DE-LU;FR;FR;NL;NL
06.01.2019;00 - 01;493,37;493,66;493,66;493,66;493,66;493,66;493,66;493,66;493,66;493,66;493,66;493,66;493,66;493,66;;493,66;;493,66;;493,66;;;;;;;;;;
06.01.2019;01 - 02;481,1;481,29;481,29;481,29;481,29;481,29;468,43;481,29;481,29;481,29;481,29;481,29;481,29;481,29;;481,29;;481,29;;481,29;;;;;;;;;;
06.01.2019;02 - 03;478,45;479,13;479,13;479,13;479,13;479,13;479,13;479,13;479,13;479,13;479,13;479,13;479,13;479,13;;479,13;;479,13;;479,13;;;;;;;;;;
06.01.2019;03 - 04;477,07;477,66;477,66;477,66;477,66;477,66;477,66;477,66;477,66;477,66;477,66;477,66;477,66;477,66;;477,66;;477,66;;477,66;;;;;;;;;;
06.01.2019;04 - 05;469,02;469,42;469,42;469,42;469,42;469,42;469,42;469,42;469,42;469,42;469,42;469,42;469,42;469,42;;469,42;;469,42;;469,42;;;;;;;;;;
06.01.2019;05 - 06;477,46;478,25;478,25;478,25;478,25;478,25;478,25;478,25;478,25;478,25;478,25;478,25;478,25;478,25;;478,25;;478,25;;478,25;;;;;;;;;;
06.01.2019;06 - 07;484,43;484,73;484,73;484,73;484,73;484,73;473,05;484,73;484,73;484,73;484,73;484,73;484,73;484,73;;484,73;;484,73;;484,73;;;;;;;;;;
06.01.2019;07 - 08;487,18;487,38;487,38;487,38;487,38;487,38;482,08;487,38;487,38;487,38;487,38;487,38;487,38;487,38;;487,38;;487,38;;487,38;;;;;;;;;;
06.01.2019;08 - 09;495,04;495,13;495,13;495,13;495,13;495,13;495,13;495,13;495,13;495,13;495,13;495,13;495,13;495,13;;495,13;;495,13;;495,13;;;;;;;;;;
06.01.2019;09 - 10;508,09;507,31;507,31;507,31;507,31;507,31;524,19;524,19;507,31;507,31;507,31;507,31;507,31;507,31;;507,31;;507,31;;507,31;;;;;;;;;;
06.01.2019;10 - 11;513,79;513,88;513,88;513,88;513,88;513,88;513,88;513,88;513,88;513,88;513,88;513,88;513,88;513,88;;513,88;;513,88;;513,88;;;;;;;;;;
06.01.2019;11 - 12;517,81;518,01;518,01;518,01;518,01;518,01;518,01;518,01;518,01;518,01;518,01;518,01;518,01;518,01;;518,01;;518,01;;518,01;;;;;;;;;;
06.01.2019;12 - 13;518,01;518,89;518,89;518,89;518,89;518,89;518,89;518,89;518,89;518,89;518,89;518,89;518,89;518,89;;518,89;;518,89;;518,89;;;;;;;;;;
06.01.2019;13 - 14;514,08;514,77;514,77;514,77;514,77;514,77;514,77;514,77;514,77;514,77;514,77;514,77;514,77;514,77;;514,77;;514,77;;514,77;;;;;;;;;;
06.01.2019;14 - 15;505,24;505,74;505,74;505,74;505,74;505,74;505,74;505,74;505,74;505,74;505,74;505,74;505,74;505,74;;505,74;;505,74;;505,74;;;;;;;;;;
06.01.2019;15 - 16;505,93;506,23;506,23;506,23;506,23;506,23;506,23;506,23;506,23;506,23;506,23;506,23;506,23;506,23;;506,23;;506,23;;506,23;;;;;;;;;;
06.01.2019;16 - 17;522,52;523,01;523,01;523,01;524,19;523,01;523,01;524,19;523,01;523,01;523,01;523,01;523,01;523,01;;523,01;;524,19;;524,19;;;;;;;;;;
06.01.2019;17 - 18;535,28;524,29;524,29;542,35;607,73;542,35;542,35;607,73;542,35;542,35;542,35;524,29;524,29;524,29;;542,35;;607,73;;607,73;;;;;;;;;;
06.01.2019;18 - 19;527,33;521,15;521,15;532,53;602,33;532,53;532,53;602,33;532,53;532,53;532,53;521,15;521,15;521,15;;532,53;;602,33;;602,33;;;;;;;;;;
